"Mouse_ID","Year","FEC_Eim_Ct","MC.Eimeria.FEC","delta_ct_cewe_MminusE","MC.Eimeria","OPG","MCs"
"AA_0524",2018,"25.1663749622532",FALSE,-5.29,TRUE,0,"Fec:FALSE Tissue:TRUE"
"AA_0525",2018,"21.0782407826769",FALSE,-1.53,TRUE,31250,"Fec:FALSE Tissue:TRUE"
"AA_0526",2018,"32.2630557708503",FALSE,-8.55,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0527",2018,"22.4515499417248",FALSE,-7.02,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0529",2018,"29.5583018467262",FALSE,-10.38,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0533",2018,"30.5293300480807",FALSE,-8.55,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0535",2018,"27.496519109002",FALSE,-9.2,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0538",2018,"35.35597",FALSE,-10.6,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0540",2018,"25.5015479311307",FALSE,-7.98,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0542",2018,"19.6600362137816",FALSE,-1.69,TRUE,31250,"Fec:FALSE Tissue:TRUE"
"AA_0543",2018,"32.6931067991843",FALSE,-8.91,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0544",2018,"33.0238802661614",FALSE,-6.88,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0545",2018,"30.6503985788715",FALSE,-12.23,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0547",2018,"31.1281001707893",FALSE,-9.43,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0552",2018,"31.4874185111014",FALSE,-9.46,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0553",2018,"35.4653452262241",FALSE,-10.21,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0554",2018,"19.3996804001041",FALSE,1.25,TRUE,0,"Fec:FALSE Tissue:TRUE"
"AA_0559",2018,"20.713121754199",FALSE,1.41,TRUE,0,"Fec:FALSE Tissue:TRUE"
"AA_0560",2018,"33.2810161831122",FALSE,-9.27,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0561",2018,"21.1401397425384",FALSE,1.31,TRUE,45454.55,"Fec:FALSE Tissue:TRUE"
"AA_0563",2018,"18.3163561520775",FALSE,-8.7,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0564",2018,"28.9226973407088",FALSE,-9.22,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0565",2018,"33.2077730005818",FALSE,-11.92,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0567",2018,"31.1135597157657",FALSE,-12.57,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0568",2018,"31.0248824726973",FALSE,-9.1,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0569",2018,"23.5991051919419",FALSE,-5.74,TRUE,0,"Fec:FALSE Tissue:TRUE"
"AA_0571",2018,"29.9818898771148",FALSE,-8.25,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0572",2018,"25.9484555020901",FALSE,-7.71,TRUE,0,"Fec:FALSE Tissue:TRUE"
"AA_0573",2018,"34.1064058144716",FALSE,-9.56,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0575",2018,"30.9950265603998",FALSE,-11.2,FALSE,0,"Fec:FALSE Tissue:FALSE"
